run_id,quant_mode,iteration,policy_cuda_ms,policy_wall_ms,step_1_ms,step_2_ms,step_3_ms,step_4_ms,step_5_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T180721_int8_wo_9c184a,int8_weight_only,0,556.297,556.34309,81.86163,80.05222,80.22016,81.38956,81.30355,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,1,548.95428,548.99502,80.89805,79.44601,79.4665,81.23392,80.25907,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,2,538.776,538.81287,80.42393,77.08672,77.58947,77.32841,77.02221,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,3,584.23468,584.27484,82.57741,79.38355,78.88589,79.26374,79.35386,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,4,558.20807,558.25077,81.01683,81.75719,81.70599,84.40935,81.88928,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,5,603.72083,603.75772,81.96301,80.29798,79.43885,78.30112,78.32576,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,6,537.82727,537.86247,79.06198,78.75993,77.6448,76.79075,76.86048,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,7,548.21063,548.25167,85.16915,77.66528,76.70167,79.9529,78.04006,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,8,564.32776,564.37285,78.99751,76.95975,81.84422,83.31062,92.68327,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,9,612.60736,612.64577,79.47059,79.38867,82.61632,80.384,80.08909,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,10,535.40527,535.44349,79.04563,78.80909,76.54099,77.77373,77.32736,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,11,553.97766,554.01709,79.75629,81.03834,81.78893,81.36295,80.15575,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,12,550.0827,550.11889,81.77962,80.27955,80.89395,78.7159,78.70771,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,13,561.50226,561.5575,80.49152,79.55456,80.8448,82.06643,91.42067,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,14,613.93585,613.97401,84.70221,83.45907,77.92845,77.30167,76.8809,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,15,553.33453,553.40635,83.1232,79.34157,78.75789,78.75687,81.54317,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,16,643.2644,643.30268,83.48672,83.19792,88.17357,81.12025,79.61088,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,17,564.25946,564.4506,79.94266,78.67699,79.49619,80.28468,78.54579,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,18,588.13983,588.17631,82.40537,79.68153,77.05907,76.70365,78.33498,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,19,555.36554,555.4091,80.52122,87.4496,78.64326,77.26899,80.94617,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,20,551.96588,552.03904,80.34931,79.95699,79.48083,78.88589,81.2032,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,21,616.36829,616.41418,81.11913,78.85936,84.49229,86.54951,84.97766,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,22,565.87836,565.92197,88.46233,86.17974,81.18681,81.31482,81.60154,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,23,551.84119,551.8913,80.86118,80.20583,78.592,80.45773,79.98566,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,24,551.83112,552.02601,82.81696,79.59546,79.96915,80.04813,82.16064,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,25,550.25549,550.29339,80.72704,80.18534,79.4194,79.07226,79.78407,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,26,549.27307,549.31529,81.91488,80.56832,83.98336,79.23392,76.91367,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,27,598.1908,598.23455,86.36403,81.51859,84.81383,90.73972,106.53799,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,28,567.35712,567.43176,81.60973,79.91296,82.32346,77.21472,77.84953,2327.315,3942.0
20260729T180721_int8_wo_9c184a,int8_weight_only,29,543.3064,543.36731,79.51974,77.36525,77.11232,77.07239,77.92742,2327.315,3942.0
