run_id,backend,iteration,cuda_ms,wall_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T182249_bf16_eager,bf16_eager,258,64.15155,64.351758,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,259,62.345215,62.380262,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,260,60.348415,60.376928,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,261,60.408833,60.437701,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,262,60.267521,60.29736,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,263,60.397568,60.4262,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,264,60.318722,60.34599,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,265,60.276768,60.304754,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,266,60.267521,60.295987,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,267,60.353535,60.380926,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,268,60.040192,60.068483,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,269,60.000256,60.028548,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,270,59.909119,59.936196,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,271,59.824127,59.851198,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,272,60.148735,60.176855,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,273,60.214272,60.242116,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,274,60.086273,60.113708,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,275,60.067841,60.095222,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,276,60.084225,60.111984,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,277,66.728867,66.760338,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,278,60.21632,60.244341,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,279,60.385281,60.411122,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,280,60.304417,60.331784,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,281,60.12928,60.155435,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,282,60.45491,60.481724,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,283,67.338242,67.378751,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,284,60.153854,60.180983,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,285,60.133377,60.159403,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,286,59.846722,59.87352,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,287,59.968513,59.998593,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,288,59.931648,59.958358,4014.374,4256.0
