run_id,backend,denoising_steps,iteration,policy_cuda_ms,policy_wall_ms,denoiser_total_ms,per_step_mean_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T183102_bf16_eager,bf16_eager,1,49,200.42723,200.50278,60.09856,60.09856,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,50,209.08138,209.15963,60.1344,60.1344,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,51,198.92947,199.00708,60.06784,60.06784,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,52,198.49554,198.57259,59.85485,59.85485,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,53,200.61261,200.69911,59.96851,59.96851,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,54,243.33293,243.4153,59.91542,59.91542,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,55,207.90375,207.98856,60.0873,60.0873,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,56,198.68906,198.76703,59.91936,59.91936,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,57,199.05641,199.13394,59.94598,59.94598,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,58,198.62602,198.7033,60.06477,60.06477,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,59,204.98425,205.06053,59.96851,59.96851,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,60,206.40086,206.47785,59.87533,59.87533,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,61,199.1834,199.25861,59.8825,59.8825,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,62,199.231,199.30651,60.02275,60.02275,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,63,198.47968,198.55537,59.85075,59.85075,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,64,198.76486,198.84163,59.89786,59.89786,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,65,198.7072,198.78775,59.97568,59.97568,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,66,292.23413,292.31828,60.47437,60.47437,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,67,198.76973,198.85276,61.53728,61.53728,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,68,196.99344,197.07253,60.09245,60.09245,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,69,201.05789,201.14011,61.77177,61.77177,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,70,198.86382,198.94121,60.1088,60.1088,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,71,198.58426,198.67547,59.94394,59.94394,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,72,204.18068,204.26207,62.1609,62.1609,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,73,206.36295,206.46306,60.70682,60.70682,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,74,202.44742,202.53116,62.04826,62.04826,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,75,202.17596,202.25898,61.86599,61.86599,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,76,201.19002,201.27032,62.09229,62.09229,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,77,199.48988,199.56869,60.2153,60.2153,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,78,205.18958,205.268,59.95008,59.95008,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,79,198.95978,199.03715,59.92858,59.92858,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,80,199.17801,199.27482,60.02176,60.02176,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,81,270.22452,270.30687,60.52864,60.52864,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,82,202.88713,202.9685,60.21539,60.21539,4013.604,5294.0
