run_id,quant_mode,iteration,policy_cuda_ms,policy_wall_ms,step_1_ms,step_2_ms,step_3_ms,step_4_ms,step_5_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T181234_int8_w8a8_9d8d21,int8_backbone,40,2564.36938,2564.37446,479.30881,482.54968,483.16928,492.69147,470.69183,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,41,2575.73804,2575.91355,482.37671,489.92358,478.67288,486.35086,481.4418,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,42,2579.75391,2579.76661,487.84174,492.56039,484.80972,485.45996,472.36609,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,43,2524.09521,2524.12183,474.6752,483.754,467.38431,472.53812,471.53964,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,44,2516.39966,2516.40411,470.33459,468.77081,468.62643,470.83521,483.30548,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,45,2518.40796,2518.41104,477.9776,477.95712,469.81119,471.1004,471.34616,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,46,2588.43921,2588.45754,501.1282,502.47681,466.12891,470.10919,473.29584,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,47,2537.61377,2537.61816,474.47348,487.89819,472.72449,470.12762,478.82648,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,48,2528.82959,2529.03168,473.43207,477.26276,470.52493,483.8226,470.98776,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,49,2503.26367,2503.26991,467.94855,464.41882,468.33255,465.22778,470.73679,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,50,2509.76221,2509.76591,466.10748,464.90009,467.26962,471.22125,469.33606,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,51,2544.76343,2544.9568,475.26401,477.70932,475.91321,474.99365,481.77356,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,52,2661.33472,2661.53165,470.78503,471.60013,468.20761,475.0899,475.00903,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,53,2543.69971,2543.89592,472.28412,473.07672,468.01202,497.09055,474.51239,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,54,2580.6958,2580.73448,482.06644,483.77344,490.26968,482.7648,474.86679,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,55,2518.33911,2518.50755,464.53351,472.49304,481.15302,476.83685,465.79608,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,56,2497.13306,2497.13908,468.35815,464.63898,467.19589,471.83154,469.5726,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,57,2490.65161,2490.6576,465.72748,471.54892,465.12231,474.23999,466.15552,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,58,2523.10132,2523.14139,483.89429,471.26736,476.50101,468.20761,476.21844,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,59,2517.76001,2517.93238,465.62918,467.72122,469.65659,475.89273,487.28781,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,60,2609.61768,2609.65442,474.65881,496.66458,486.62009,480.36557,511.17365,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,61,2547.50659,2547.67346,487.59604,468.07245,476.5224,475.39609,489.55188,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,62,2509.98071,2510.01922,470.05798,478.21518,470.56281,467.82977,468.88654,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,63,2526.6145,2526.62416,476.75803,470.42355,477.44513,474.76328,476.71399,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,64,2536.448,2536.62076,477.68158,481.46741,481.52576,473.45456,469.74054,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,65,2527.40454,2527.41185,471.57352,473.77496,476.06671,473.21497,474.01166,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,66,2542.68652,2542.71662,471.12704,473.77716,483.20306,485.78149,478.66873,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,67,2530.2356,2530.24854,470.741,473.48532,471.34824,471.82336,491.46484,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,68,2550.56372,2550.58319,479.22073,476.50815,471.92065,480.36249,479.9191,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,69,2493.23193,2493.39822,462.40051,464.89804,468.67865,469.11078,469.63516,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,70,2539.84351,2539.88307,483.71506,470.18597,474.7244,471.75986,477.6745,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,71,2565.07422,2565.0838,483.414,475.63367,469.41901,483.50821,500.71552,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,72,2520.96143,2521.12703,468.85172,466.45657,469.88092,485.14456,477.52493,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,73,2502.60913,2502.62589,472.38757,465.5831,466.01721,463.2709,484.90497,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,74,2478.48901,2478.49722,464.58981,465.32504,462.9801,464.45258,466.75455,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,75,2479.90356,2479.91911,464.91956,465.44589,465.56262,463.80341,468.78925,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,76,2537.33984,2537.37586,471.15469,472.30771,470.94476,471.57965,499.52155,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,77,2521.69287,2521.70065,474.61682,465.10593,465.20422,475.2005,488.35175,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,78,2481.1792,2481.18799,466.34393,464.86435,468.06842,466.66956,466.45151,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,79,2565.39893,2565.59619,477.6745,477.00992,476.53171,473.33478,476.19284,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,80,2493.85498,2493.87572,466.27841,469.32584,466.08179,467.21536,467.8656,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,81,2517.66602,2517.67566,471.22729,472.82074,469.99142,476.45389,475.49646,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,82,2490.375,2490.38296,473.11975,471.26016,465.80429,463.40915,466.15756,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,83,2493.57056,2493.5982,466.1217,464.76288,463.98669,465.65683,467.84921,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,84,2561.47681,2561.48423,463.77472,465.36603,470.36929,468.83221,468.56705,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,85,2511.85327,2511.8892,463.95801,468.87833,473.46689,476.87476,474.78067,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,86,2549.34351,2549.35949,477.02835,475.18106,473.16684,472.77866,474.1499,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,87,2532.7478,2532.9083,470.65497,470.04672,463.9364,465.98758,471.19669,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,88,2588.20166,2588.2139,462.56232,464.32666,464.96973,473.72391,477.21164,2323.752,3700.0
